full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,90931,90931,11370,1685,1685,950,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,126665,126665,17287,1069,1069,355,https://github.com/affaan-m/everything-claude-code
Kuberwastaken/claude-code,3133,3133,4406,1247,1247,1192,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45115,45115,6958,121,121,46,https://github.com/shareAI-lab/learn-claude-code
claude-code-best/claude-code,1417,1417,2005,796,796,1031,https://github.com/claude-code-best/claude-code
ChinaSiro/claude-code-sourcemap,4486,4486,7956,466,466,776,https://github.com/ChinaSiro/claude-code-sourcemap
chatgptprojects/claude-code,1349,1349,1648,372,372,432,https://github.com/chatgptprojects/claude-code
hesreallyhim/awesome-claude-code,35070,35070,2592,79,79,26,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30877,30877,2395,19,19,6,https://github.com/musistudio/claude-code-router
jarmuine/claude-code,539,539,2002,187,187,541,https://github.com/jarmuine/claude-code
davila7/claude-code-templates,23924,23924,2322,18,18,6,https://github.com/davila7/claude-code-templates
sanbuphy/claude-code-source-code,3858,3858,7480,958,958,1692,https://github.com/sanbuphy/claude-code-source-code
shanraisshan/claude-code-best-practice,28596,28596,2401,441,441,53,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,15819,15819,1780,28,28,7,https://github.com/VoltAgent/awesome-claude-code-subagents
instructkr/claw-code,58572,58572,60431,13496,13496,6223,https://github.com/instructkr/claw-code
pengchengneo/Claude-Code,454,454,914,51,51,120,https://github.com/pengchengneo/Claude-Code
anthropics/claude-code-action,6775,6775,1626,6,6,4,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,9385,9385,1200,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7663,7663,1125,15,15,4,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7439,7439,1123,107,107,58,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8317,8317,606,7,7,3,https://github.com/frankbria/ralph-claude-code
oboard/claude-code-rev,906,906,1400,126,126,209,https://github.com/oboard/claude-code-rev
ykdojo/claude-code-tips,6998,6998,483,7,7,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5651,5651,499,5,5,1,https://github.com/ChrisWiles/claude-code-showcase
Onewon/claude-code,64,64,736,10,10,250,https://github.com/Onewon/claude-code
pedrohcgs/claude-code-my-workflow,814,814,1545,2,2,1,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3760,3760,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
tanbiralam/claude-code,218,218,370,58,58,85,https://github.com/tanbiralam/claude-code
beita6969/claude-code,151,151,385,10,10,23,https://github.com/beita6969/claude-code
