full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,94532,94532,13556,3601,3601,2186,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,128421,128421,17946,1756,1756,659,https://github.com/affaan-m/everything-claude-code
claude-code-best/claude-code,4431,4431,5824,3014,3014,3819,https://github.com/claude-code-best/claude-code
Kuberwastaken/claude-code,4636,4636,5743,1503,1503,1337,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45749,45749,7158,634,634,200,https://github.com/shareAI-lab/learn-claude-code
sanbuphy/claude-code-source-code,8828,8828,16756,4970,4970,9276,https://github.com/sanbuphy/claude-code-source-code
ChinaSiro/claude-code-sourcemap,6337,6337,11216,1851,1851,3260,https://github.com/ChinaSiro/claude-code-sourcemap
jarmuine/claude-code,879,879,3327,340,340,1325,https://github.com/jarmuine/claude-code
hesreallyhim/awesome-claude-code,35217,35217,2635,147,147,43,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30918,30918,2398,41,41,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23952,23952,2333,28,28,11,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,645,645,1377,191,191,463,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,29336,29336,2503,740,740,102,https://github.com/shanraisshan/claude-code-best-practice
instructkr/claw-code,84010,84010,81736,25438,25438,21305,https://github.com/instructkr/claw-code
VoltAgent/awesome-claude-code-subagents,15851,15851,1785,32,32,5,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6788,6788,1631,13,13,5,https://github.com/anthropics/claude-code-action
oboard/claude-code-rev,1579,1579,2345,673,673,945,https://github.com/oboard/claude-code-rev
Onewon/claude-code,93,93,1214,29,29,478,https://github.com/Onewon/claude-code
Piebald-AI/claude-code-system-prompts,7718,7718,1310,279,279,187,https://github.com/Piebald-AI/claude-code-system-prompts
NanmiCoder/claude-code-haha,1299,1299,1809,1299,1299,1809,https://github.com/NanmiCoder/claude-code-haha
diet103/claude-code-infrastructure-showcase,9389,9389,1201,4,4,1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7709,7709,1137,46,46,12,https://github.com/Donchitos/Claude-Code-Game-Studios
ponponon/claude_code_src,938,938,1902,537,537,1139,https://github.com/ponponon/claude_code_src
tanbiralam/claude-code,333,333,596,115,115,226,https://github.com/tanbiralam/claude-code
frankbria/ralph-claude-code,8319,8319,606,2,2,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,7009,7009,485,11,11,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5657,5657,499,6,6,0,https://github.com/ChrisWiles/claude-code-showcase
beita6969/claude-code,183,183,455,32,32,70,https://github.com/beita6969/claude-code
hangsman/claude-code-source,519,519,1294,114,114,289,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,815,815,1558,1,1,13,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3761,3761,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3339,3339,443,6,6,1,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26126,26126,10000,23,23,39,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3451,3451,587,4,4,1,https://github.com/disler/claude-code-hooks-mastery
sickn33/antigravity-awesome-skills,29576,29576,4933,99,99,19,https://github.com/sickn33/antigravity-awesome-skills
anthropics/skills,107851,107851,11992,298,298,58,https://github.com/anthropics/skills
